Gender,Perfume Name,Notes,Link
F,Chanel Coco Mademoiselle Spray,"Orange, Jasmine, Rose, Patchouli, Vetiver",https://www.chanel.com/us/fragrance/p/116520/coco-mademoiselle-eau-de-parfum-spray/
F,Lancôme La Vie Est Belle,"Iris, Patchouli, Vanilla",https://www.lancome-usa.com/fragrance/fragrance-by-collection/la-vie-est-belle/la-vie-est-belle-eau-de-parfum-spray/100606.html#tab=fragrance-notes
F,Yves Saint Laurent Mon Paris,"Berries, Datura Flower, Musk, Patchouli, Chypre",https://www.yslbeautyus.com/fragrance/womens-fragrances/mon-paris/mon-paris-eau-de-parfum/4150YSL.html
F,Miss Dior,"Rose, Lily, Peony, Iris",https://www.dior.com/en_us/beauty/products/Y0996347-miss-dior-eau-de-parfum-eau-de-parfum-floral-and-fresh-notes
F,Burberry Her,"Berries, Jasmine, Violet, Musk, Amber",https://us.burberry.com/her-eau-de-parfum-100ml-p40804591
F,Dior J'adore Parfum D'eau,"Jasmine, Neroli, Magnolia",https://billieeilishfragrances.com/products/eilish-eau-de-parfum?variant=40954251018392
F,Valentino Donna Born in Roma,"Jasmine, Cashmeran, Vanilla",https://www.ulta.com/p/cloud-eau-de-parfum-pimprod2000100
F,Burberry Her Elixir,"Strawberry, Berries, Jasmine, Vanilla, Amber, Sandalwood",https://www.dior.com/en_us/beauty/products/Y0996491-jadore-parfum-deau-alcohol-free-eau-de-parfum-floral-notes
F,Lancôme La Vie Est Belle Happiness Shot,"Iris, Patchouli, Vanilla",https://www.valentino-beauty.us/fragrances/fragrances-women/fragrances-women-born-in-roma/donna-born-in-roma-eau-de-parfum-MPL00468.html?dwvar_MPL00468_size=50&gclid=CjwKCAjwtp2bBhAGEiwAOZZTuIRbHHJ84IimOC230iJZ5XO45wYeaRGr7HYzObOHhNYc_rG2njs4zRoCdYMQAvD_BwE&gclsrc=aw.ds#tab=notes
F,Prada Paradoxe,"Neroli, Amber, Musk",https://us.burberry.com/her-elixir-de-parfum-30ml-p40828131
F,Yves Saint Laurent Black Opium,"Coffee, White Flowers, Vanilla",https://www.ulta.com/p/la-vie-est-belle-happiness-shot-pimprod2026373
F,Jimmy Choo I Want Choo,"Mandarin, Peach, Lily, Jasmine, Vanilla, Benzoin, Resinoid",https://www.ulta.com/p/paradoxe-eau-de-parfum-pimprod2034721
F,Dolce&Gabbana Light Blue,"Cedar, Apple, Bluebell, Bamboo, Jasmine, Rose, Wood, Amber, Musk",https://www.yslbeautyus.com/fragrance/womens-fragrances/black-opium/black-opium-eau-de-parfum/252YSL.html#tab=description
F,Carolina Herrera Good Girl,"Vanilla, Almond, Tuberose, Jasmine, Tonka Bean, Cocoa",https://us.jimmychoo.com/en/beauty/fragrance/womens-fragrance/jc-i-want-choo-edp-100ml/jimmy-choo-i-want-choo-eau-de-parfum-100ml-JCIWANTCHOO100MLFJCP061698.html
F,Chanel Chance Eau Tendre,"Grapefruit, Rose, Jasmine",https://www.ulta.com/p/light-blue-eau-de-toilette-VP11736?sku=2286690&amp;CAWELAID=330000200000275584
F,Gucci Flora Gorgeous Gardenia,"Pear, Mandarin, Berries, Gardenia, Jasmine, Frangipani Flower, Patchouli",https://www.carolinaherrera.com/us/en/p-fragrance/good-girl-eau-de-parfum/
F,Yves Saint Laurent Libre,"Lavender, Orange, Vanilla, Musk",https://www.ulta.com/p/chance-eau-tendre-eau-de-parfum-spray-pimprod2015977
